K,P_J_S,P_J_H,chiJ
0.25,6.481027890541769e-195,0.0,0.0
0.41666666666666663,1.744729128520555e-194,0.0,0.0
0.5833333333333333,3.304829343928945e-194,0.0,0.0
0.75,5.264822920046893e-194,0.0,0.0
0.9166666666666666,7.55711730394379e-194,0.0,0.0
1.0833333333333333,1.0111921349122647e-193,0.0,0.0
1.25,1.2857590383510218e-193,0.0,0.0
1.4166666666666665,1.572189838880375e-193,0.0,0.0
1.5833333333333333,1.8633090340398307e-193,0.0,0.0
1.75,2.152085467301897e-193,0.0,0.0
1.9166666666666665,2.431728943986525e-193,0.0,0.0
2.083333333333333,2.695790370719831e-193,0.0,0.0
2.25,2.93826315274104e-193,0.0,0.0
2.4166666666666665,3.15368582210835e-193,0.0,0.0
2.583333333333333,3.337242852660302e-193,0.0,0.0
2.75,3.48486417288426e-193,0.0,0.0
