K,P_J_S,P_J_H,chiJ
0.25,4.3645373563199217e-10,-5.933339668696233e-11,-0.1359442979701997
0.4166666666666666,3.30020785712206e-10,-6.220381340158427e-11,-0.1884845321707372
0.5833333333333333,2.9556188378485507e-10,-6.234020732389359e-11,-0.2109209974086921
0.75,3.1181794323131896e-10,-7.050817698531206e-11,-0.2261196910435852
0.9166666666666666,3.2415190312464524e-10,-7.533006032544675e-11,-0.2323912326267611
1.0833333333333333,3.309337050592769e-10,-7.631087677363302e-11,-0.2305926401783831
1.25,3.345767570307001e-10,-7.507048614870814e-11,-0.2243744808065667
1.4166666666666663,3.347229781483621e-10,-7.223590137813576e-11,-0.21580801466853
1.5833333333333333,3.3077286595584326e-10,-6.842430702319414e-11,-0.2068619105907208
1.75,3.2166964985538316e-10,-6.38399918089977e-11,-0.1984644551877958
1.9166666666666663,3.0616529823520845e-10,-5.835975136436095e-11,-0.1906151732438555
2.083333333333333,2.83710351479025e-10,-5.247818844364776e-11,-0.184971003595995
2.25,2.5243727679900386e-10,-4.517276275361927e-11,-0.1789464825735179
2.4166666666666665,2.1249756483273834e-10,-3.759009770096823e-11,-0.1768966045825336
2.583333333333333,1.6274828036699643e-10,-2.938255454427194e-11,-0.1805398771527075
2.75,1.0234664657332424e-10,-2.056931516088299e-11,-0.200976933290594
