time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.180127509498,-0.167904830171,0.460158806426,0.929029957648,0.00116230553282,0,1.17394217727e-32,2.33333333333,2.33333333333,0.02,260823,2.88595840292e-16,0.00201997920665,2.96576656381,6.60139876771e-35
0.1,-0.0981632043716,-0.0862330467672,0.460407953955,,,5.0691036798e-15,2.28105615378e-31,,,,,2.79696602024e-16,0.00250898548051,2.96595427462,5.74281435987e-34
0.2,-0.0844880414987,-0.0723900779037,0.460783319303,,,8.0804536478e-15,1.09946993225e-30,,,,,2.76896624877e-16,0.00310666987972,2.96617138624,7.18245209044e-34
0.3,-0.092664161095,-0.0799370593295,0.461341224799,,,1.06093894097e-14,3.01214472835e-30,,,,,2.69518536167e-16,0.00382788802584,2.96640424888,8.50111998831e-34
0.4,-0.119423671458,-0.105495371249,0.462156169077,,,1.25416106172e-14,6.05671938727e-30,,,,,2.86966933525e-16,0.00468569333346,2.96663553824,1.75823196814e-33
0.5,-0.173994884728,-0.158032072994,0.46332072672,,,1.41569061074e-14,1.00186558228e-29,,,,,2.83920590952e-16,0.00568961140812,2.96685143323,1.34483124873e-33
0.6,-0.275986019831,-0.256923744542,0.464940965632,,,1.52673520894e-14,1.45468275953e-29,,,,,2.68423585511e-16,0.00684324420467,2.96704296203,1.40434467993e-33
0.7,-0.445032613885,-0.422248002311,0.467125013035,,,1.62771948019e-14,1.95319977905e-29,,,,,2.63915030528e-16,0.00814133421481,2.96720452681,1.8620916189e-33
0.8,-0.650722266953,-0.624990628114,0.469962608171,,,1.68133571378e-14,2.4690139137e-29,,,,,2.72284331565e-16,0.00956659450199,2.96733202789,2.15923565122e-33
0.9,-0.785408834895,-0.757614824739,0.473494899012,,,1.74176079156e-14,3.01530410868e-29,,,,,2.72370924725e-16,0.0110867756703,2.96742171217,2.50397168414e-33
1,-0.805183511282,-0.775742678852,0.477677001115,,,1.81059793927e-14,3.64341491544e-29,,,,,2.76241822515e-16,0.0126526162469,2.96746992918,2.73268649935e-33
1.1,-0.772205323713,-0.741995023186,0.48234114838,,,1.83543406106e-14,4.36172721682e-29,,,,,2.8939364393e-16,0.0141975232267,2.96747363798,3.0198819404e-33
1.2,-0.738717422281,-0.708380626176,0.487174839264,,,1.84677311821e-14,5.19967785225e-29,,,,,2.75256659745e-16,0.0156400542628,2.96743158275,3.23593984897e-33
1.3,-0.720580224965,-0.69031585762,0.491733879836,,,1.8672696982e-14,6.23214774777e-29,,,,,2.79491675566e-16,0.0168905083781,2.9673463264,3.36446139652e-33
1.4,-0.717867780134,-0.687671837574,0.495510617294,,,1.87372939821e-14,7.55319818375e-29,,,,,2.90142371598e-16,0.017863149865,2.96722768059,3.55137240357e-33
1.5,-0.726777115552,-0.696608825421,0.498068034733,,,1.87276666767e-14,9.22541902057e-29,,,,,2.91620345485e-16,0.0184956989204,2.96709830613,3.81429192934e-33
1.6,-0.7432100373,-0.713048875828,0.499227195158,,,1.86813917806e-14,1.12410310236e-28,,,,,2.93512259815e-16,0.0187773296065,2.96700149578,4.14696270091e-33
1.7,-0.763428197575,-0.733281638504,0.499260217122,,,1.85480391112e-14,1.31623822833e-28,,,,,2.82683384135e-16,0.0187840138791,2.96700617954,4.41861937964e-33
1.8,-0.78389741411,-0.753797034855,0.499003748178,,,1.83694930724e-14,1.36085477966e-28,,,,,2.74513531214e-16,0.018711240138,2.9671887773,4.76312725814e-33
1.9,-0.801105837257,-0.77110499689,0.499789076218,,,1.81820421943e-14,1.09193012543e-28,,,,,2.79505686006e-16,0.0188722484538,2.96755514629,4.764360541e-33
2,-0.811934217501,-0.782104674832,0.503110283986,,,1.80306985162e-14,6.44203508571e-29,,,,,2.70058259516e-16,0.0196070054068,2.96793062736,4.7430831938e-33
