time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.24514227798,-0.247070853628,0.460158806426,0.890041378439,0.00126636630629,0,1.28065304309e-32,2.33333333333,2.33333333333,0.02,260825,2.8097180553e-16,0.00204151105624,2.94490216228,1.03094909621e-34
0.1,-0.12210867625,-0.124502370361,0.460158909258,,,1.26282552456e-06,2.6482073127e-10,,,,,1.62596367228e-17,0.00204434877137,2.9450994518,8.56052128328e-12
0.2,-0.099904568451,-0.101815098414,0.460158948922,,,3.17607124223e-06,5.74403875143e-09,,,,,1.67413267656e-17,0.0020531746691,2.94531487615,1.82113404466e-10
0.3,-0.110311540777,-0.111294529331,0.46015897706,,,5.96530488623e-06,4.02251102333e-08,,,,,1.66372760177e-17,0.00207362847867,2.94554365941,1.25484723228e-09
0.4,-0.146215714,-0.145567081754,0.460159060336,,,9.932474319e-06,1.80112967973e-07,,,,,1.6943121559e-17,0.00211284136164,2.94577470324,5.54329644218e-09
0.5,-0.216352356479,-0.212776712368,0.46015927301,,,1.5452655203e-05,6.38068392749e-07,,,,,1.5888656573e-17,0.00217912880003,2.9459964737,1.94049570155e-08
0.6,-0.336327898872,-0.327675099077,0.460159686663,,,2.29394803824e-05,1.96441487815e-06,,,,,1.62191648947e-17,0.0022811871184,2.9461997835,5.90466297255e-08
0.7,-0.509328353376,-0.493218216512,0.460160357545,,,3.27586628621e-05,5.51768437886e-06,,,,,1.62094198389e-17,0.00242675641295,2.94637847428,1.63714902659e-07
0.8,-0.688147275122,-0.664634556613,0.460161312783,,,4.50660427667e-05,1.45290076129e-05,,,,,1.65656695469e-17,0.00262094000649,2.94652963076,4.24358381973e-07
0.9,-0.793832580859,-0.766688716587,0.460162538113,,,5.95549664099e-05,3.64251672949e-05,,,,,1.68705490635e-17,0.0028740682336,2.94665473215,1.04269570342e-06
1,-0.812019572111,-0.784537954072,0.460163971472,,,7.51304763342e-05,8.7697311945e-05,,,,,1.67114268457e-17,0.00318208708779,2.94676283128,2.44497685461e-06
1.1,-0.7878993526,-0.759979418973,0.460165507851,,,8.9599696804e-05,0.000203628801008,,,,,1.66550066926e-17,0.00352327752859,2.946876639,5.4813942843e-06
