time,chiJ_vector,chiJ_klt2p5,rho_total,initial_scale,precondition_epsA,lorenz_shadow_relative_vector_rms,longitudinal_field_fraction,spherical_safe_kmax,kinit_effective,dt,seed,gauss_constraint_relative_rms,escape_speed_over_c,beta_energy_mean,frac_beta_lt1
0,-0.17760610421,-0.167904830171,0.460158806426,0.929029957648,0.00116230553282,0,1.98210756813e-32,2.66666666667,2.4,0.02,260823,1.70793498462e-16,0.0020309853146,2.96576656381,9.7320066568e-35
0.1,-0.0963036371354,-0.0862389633796,0.460158908926,,,1.30089352349e-06,2.60180094483e-10,,,,,1.86251941802e-17,0.0020311661274,2.96595432479,6.80895977936e-12
0.2,-0.0829493261105,-0.0724030524326,0.460158948769,,,3.27074971819e-06,5.59732088418e-09,,,,,1.90385818631e-17,0.00203524695317,2.96617160884,1.46794402169e-10
0.3,-0.0915620048357,-0.0799382238104,0.460158977828,,,6.140186601e-06,3.89768156742e-08,,,,,1.83143075721e-17,0.00204902312167,2.96640486302,1.02195903055e-09
0.4,-0.119014261064,-0.105421579511,0.460159062914,,,1.02187905658e-05,1.73852586928e-07,,,,,1.88283858495e-17,0.00208007023216,2.96663698348,4.5473353146e-09
0.5,-0.174715534355,-0.157722382767,0.460159278376,,,1.58912070304e-05,6.14309478443e-07,,,,,1.84056484595e-17,0.00213747012692,2.96685458984,1.59917817076e-08
0.6,-0.278518575219,-0.256058618084,0.460159695836,,,2.35801156924e-05,1.88817562403e-06,,,,,1.86341255593e-17,0.00223092806547,2.96704959621,4.87855378058e-08
0.7,-0.450070674035,-0.420470573869,0.460160371508,,,3.36549271757e-05,5.29842942363e-06,,,,,1.85452880371e-17,0.00236919481192,2.96721822579,1.35417928208e-07
0.8,-0.657755870576,-0.622382875385,0.460161332303,,,4.62621414033e-05,1.39444314371e-05,,,,,1.83914958335e-17,0.00255804165228,2.96736014621,3.51077357958e-07
0.9,-0.792318857011,-0.754374813234,0.460162563424,,,6.10626516741e-05,3.49496232265e-05,,,,,1.86077470218e-17,0.00279829870363,2.96747929915,8.62265709191e-07
1,-0.812015462087,-0.77164466374,0.460164001879,,,7.68965839422e-05,8.41239366861e-05,,,,,1.85433548732e-17,0.00308436385484,2.96758728054,2.020134629e-06
1.1,-0.782569659248,-0.737320158784,0.460165541421,,,9.14731668397e-05,0.000195256476624,,,,,1.84005586697e-17,0.00340323610895,2.96770981448,4.52326597794e-06
1.2,-0.757165004134,-0.703791265232,0.460167052901,,,0.00010130325987,0.000437493289379,,,,,1.9177420873e-17,0.00374247673829,2.96789607272,9.66061432961e-06
1.3,-0.749813224148,-0.685974245487,0.46016841812,,,0.000102209386801,0.000944579763261,,,,,1.9487322195e-17,0.00408194559419,2.96822749282,1.95682032602e-05
1.4,-0.756597642526,-0.682558987553,0.460169564768,,,9.07337079141e-05,0.00195217204397,,,,,1.90866898223e-17,0.00436377096524,2.96881445548,3.72009953412e-05
1.5,-0.769718459579,-0.688730208326,0.460170480003,,,6.64390528736e-05,0.00379161520546,,,,,1.94375174545e-17,0.00454798154007,2.96975395646,6.52278696214e-05
1.6,-0.783444097089,-0.700906513188,0.460171181685,,,3.44250194672e-05,0.00660173616702,,,,,1.96773685817e-17,0.00459628452871,2.97101221518,0.00010256168716
1.7,-0.794773465487,-0.717592524632,0.460171650588,,,7.52855782512e-06,0.00932542446789,,,,,1.91009479543e-17,0.00447706749236,2.97225800272,0.000138698031631
1.8,-0.800972323592,-0.736963232309,0.460171769211,,,1.40208248008e-05,0.00941497867662,,,,,1.91188141928e-17,0.00416793783917,2.97289361507,0.000153160103688
1.9,-0.797664857195,-0.751984078132,0.460171341329,,,5.80026812127e-05,0.00657564746207,,,,,1.99368392121e-17,0.00365248309484,2.97258656297,0.000131909098176
2,-0.786540824382,-0.753712314317,0.46017024012,,,0.000178468221218,0.00345632926634,,,,,2.16173989479e-17,0.00290518714107,2.97175537902,8.69908586472e-05
