time,shell,k_mean,n_modes,P_J_S,P_J_H,chi_J_shell,vector_mode_energy
0,1,0.425380791638,18,0.000329908148841,9.0925097539e-06,0.0275607310272,1.16355103228e-29
0,2,0.7436010309,62,0.000831178493668,-0.000453675855818,-0.545822418739,2.98863552103e-06
0,3,1.04471971847,98,0.00179788273418,-0.000378508800774,-0.210530305219,3.02238572049e-08
0,4,1.35352659922,210,0.00440768133651,-0.000865740836082,-0.196416385393,158378.912807
0,5,1.69919437664,350,0.0070303894097,-0.000985514993895,-0.140179289718,17502.7217273
0,6,2.04064273742,450,0.00806248985231,-0.000707327301887,-0.0877306284838,376.381389915
0,7,2.35724775845,602,0.00933481383675,-0.00195674861946,-0.209618387006,0.239819152369
0,8,2.65706145319,612,0.00452836026741,-0.00100432245878,-0.221785016976,1.36727841477e-27
0,9,2.99963307136,584,0.000753093641002,-0.000298642516559,-0.39655429325,5.63973136035e-28
0,10,3.35416024321,284,6.46239724347e-05,-4.85448456083e-05,-0.751189439142,2.20759679826e-28
0,11,3.64084608427,72,1.35215270269e-07,-1.01884274277e-07,-0.753496806052,5.25807336918e-29
0,12,3.90432219678,32,1.25393668878e-09,-6.39709023439e-10,-0.51016054412,2.20635040955e-29
0.5,1,0.425380791638,18,0.019118316894,0.00141758196022,0.0741478430387,0.0221795945052
0.5,2,0.7436010309,62,0.0599653943532,-0.0316951036054,-0.52855657746,0.134593908198
0.5,3,1.04471971847,98,0.140490364603,-0.0227618787522,-0.162017365508,0.188218919257
0.5,4,1.35352659922,210,0.328629478396,-0.0607632090418,-0.184898839077,1239233.70118
0.5,5,1.69919437664,350,0.485097622477,-0.0744431133025,-0.15346006629,137670.885558
0.5,6,2.04064273742,450,0.540761031382,-0.0373677226807,-0.0691020996561,3418.24643791
0.5,7,2.35724775845,602,0.676384541395,-0.129647627182,-0.191677395398,2.42154811799
0.5,8,2.65706145319,612,0.33656968045,-0.0767242583727,-0.22795950684,0.141025076368
0.5,9,2.99963307136,584,0.0498435964396,-0.0231011207808,-0.463472189628,0.0674205720004
0.5,10,3.35416024321,284,0.00401605453987,-0.0038691579952,-0.963422671876,0.00859405445017
0.5,11,3.64084608427,72,1.09626062727e-05,-1.03108994117e-05,-0.940551831858,0.0014343905812
0.5,12,3.90432219678,32,7.91084416855e-07,-7.57738546873e-07,-0.957847899325,7.50233255875e-05
1,1,0.425380791638,18,0.468695198706,-0.0160121875956,-0.0341633275523,13.3824107994
